"userName","city","state","earningsAmount","feedbackRate","title","rates","desc","skill1","skill2","skill3","skill4","skill5","numberOfServices","nrOfPortfolio","country"
"Rashid Hussain 16","Rawalpindi,","Punjab,",NA,NA,"E-commerce Website Development","$10/hr
			  ·  
			Starting at $30","I am skilled and experienced professional, I have specialized in all kind of web Development and Web designing,","Web Development","Commercial Business Development","Design","E Commerce","E Commerce Website Development","0","2","Pakistan"
"Freelancer-sohail","Karachi,","Sindh,",NA,NA,"WordPress","$10/hr
			  ·  
			Starting at $25","Hire us for ,Website design services  WHY CHOOSE US: 1:- 5 Years Website Design experience 2 - 100% money back grantee  3 - unlimited revisions","Web Development","CSS","HTML","PHP","Web Design","0","1","Pakistan"
"Ahsan Danishx","Bahawalpur,","Punjab,",NA,NA,"Complete Web Designing Service","$8/hr
			  ·  
			Starting at $100","Good web design is the first impression of your business, I provide user-focussed custom website design services. Our website designs are aesthetically pleasing and elevate your business to new height…","Web Development","Blog Writing","Bootstrap","Design","Fashion Design","2","5","Pakistan"
"Asad Ullah Haider","Rawalpindi,","Punjab,",NA,NA,"Web Designer | Website Development","$8/hr
			  ·  
			Starting at $25","With my experience i have learned that practice makes the man perfect. If you keep in touch with your work then u are expert else you know nothing. Specialties: php, MySQL, WordPress, joomla, drupal,","Web Development","Bootstrap","Node.js","PHP","Software Development","0","0","Pakistan"
"Syed Jawad Gillani","Lahore,","Punjab,",NA,NA,"Web Services and Development","$8/hr
			  ·  
			Starting at $25","-> Website Development ->PHP Programming Most of the software development I do is accomplished with PHP programming and MySQL databases. I have completed hundreds of web development projects of variou…","Web Development","Consulting","CSS","Custom Website Design","Debugging","0","0","Pakistan"
"FistFive","Islamabad,","Punjab,",NA,NA,"Web Development","$25/hr
			  ·  
			Starting at $100","A Company with team of specialists offers you our services in the field of website design, development and marketing services. In FistFive we offer all type of design & development services especi…","Web Development","Website Development","WordPress","Web 2.0","Web Design","5","1","Pakistan"
"Abdul Hannan Danish","Lahore,","Punjab,",NA,NA,"Web Development","$8/hr
			  ·  
			Starting at $25","I can create all kinds of Websites using WordPress.This can be your personal blog or professional blog, Business Website, E-commerce Website with SEO.you can see some of my work here https://www.drkav…","Web Development","Blog Development","E-Commerce Website Development","Personal Assistant","SEO","2","4","Pakistan"
"rabie tahir 1","Faisalabad,","Punjab,",NA,NA,"Web Development","$8/hr
			  ·  
			Starting at $25","I am a web designer with proficiency and experience in making websites with eCommerce functionality. It has been six years for me in the field making websites and online presence for corporate firms a…","Web Development","Business Consulting","Design","E Commerce","Information Technology","0","1","Pakistan"
"INGENICO TRIBE","Karachi,","Sindh,",NA,NA,"Professional Logo & Website designers","$10/hr
			  ·  
			Starting at $50","We work to deliver the best leading edge web experience to build long term  OUR SERVICES  “Simplicity is the ultimate sophistication” Leonardo Da Vinci  Our creative team has innovative thinking and y…","Web Development","2D Animation","3D Animation","Adobe Illustrator","Adobe Photoshop","0","20","Pakistan"
"Tocia Dev","Sohan,","Islamabad,",NA,NA,"Web Development","$8/hr
			  ·  
			Starting at $30","Tocia Developers is a leading website development, machine learning, artificial intelligence, corporate branding and digital  marketing company. We having great experienced professional developers and…","Web Development","Design","Graphic Design","Marketing","SEO","1","5","Pakistan"
"arn baig","Islamabad,","Islamabad,",NA,NA,"custom web development and designing","$10/hr
			  ·  
			Starting at $50","I am a web designer and developer. You can buy my services for the designing and website development of any project. I am doing my bachelors in software engineering and being practical for last 2 year…","Web Development","CSS","Design","Engineering","HTML","0","0","Pakistan"
"Website developer team","Lahore,","Punjab,",NA,NA,"Web Development","$5/hr
			  ·  
			Starting at $25","","","","","","","4","0","Pakistan"
"PHP Website Developer","Karachi,","Sindh,",NA,NA,"Web Development","$5/hr
			  ·  
			Starting at $25","","","","","","","4","0","Pakistan"
"Kreative Sol","Islamabad,","Islamabad,",NA,NA,"Web Development","$12/hr
			  ·  
			Starting at $25","Kreative Sol is a Information Technology Company specialising in innovative website design/development, and graphic designs. Take pride in our unique and fresh designs to provide you with an applicati…","Web Development","C","CSS","Design","Drupal","4","1","Pakistan"
"Baber Moosa","karachi,","Sindh,",NA,NA,"CMS And Open Source Web Developent","$15/hr
			  ·  
			Starting at $25","I have successfully delivers website development using CMS Solutions such as Wordpress, Joomla, Drupal, DotNet Nuke etc. iam   well versed in Magento, VirtueMart, OSCommerce, WP eCommerce etc. I have","Web Development","Analytics","Blogs","Corporate","Developer","4","1","Pakistan"
"Brandaive","Lahore,","Punjab,",NA,NA,"Social Media Management","$10/hr
			  ·  
			Starting at $500","Effective social media management and substantial web presence can be the game changer for any business. Brandaive expertise in social media management,ensuring that our clients message raises above t…","Web Development","Article Marketing","Community Management","Facebook","Link Building","3","6","Pakistan"
"ConfixSol","Bahawalpur,","Punjab,",NA,NA,"Web Application Design & Development","$12/hr
			  ·  
			Starting at $25","You need the most efficient and working solution for your smart business that what we offer in time. We create websites from scratch and implementing all stages of development Ensuring fulfillment of","Web Development","Application Design","Design","Ecommerce","Magento","3","1","Pakistan"
"Muqtasid Javaid Khokhar","Rahim Yar Khan,","Punjab,",NA,NA,"Web Development","$10/hr
			  ·  
			Starting at $30","Hi, I am Muqtasid. I am a WordPress Developer with an experience of 5 years in WordPress design and development. I create attractive, sleek and stunning websites. My first priority is to provide quali…","Web Development","Bootstrap","CSS3","HTML5","JavaScript","0","3","Pakistan"
"Techiehives","Karachi,","Sindh,",NA,NA,"web development php laravel","$5/hr
			  ·  
			Starting at $25","Techiehives is a team of professionals & we are providing Web Application & custom Website Development Services worldwide to generate the most remarkable results & improve your business. Responsive We…","Web Development","Clean Programming","Design","Laravel","PHP","0","7","Pakistan"
"Fahadi Nadeem","Karachi,","Sindh,",NA,NA,"PHP Developer | Web Development |Website","$15/hr
			  ·  
			Starting at $80","PLEASE CONTACT FOR PLACING ORDER  Main points of this Service: Unique Front End Responsive Design Technologies I Work In PHP Why Me: 3 years Experience in the industry as a Web Developer 100% Satisfac…","Web Development","Bootstrap","CMS (Content Management System)","CodeIgniter","Content Writing","0","2","Pakistan"
"Ahmad Waris 1","Lahore,","Punjab,",NA,NA,"Pro Property Management","$10/hr
			  ·  
			Starting at $25","I have eight years of experience working as Virtual assistant ,assisting U.S, UK and Australian organizations. I am real estate expert, property manager i have worked on Appfolio, Buildium,Show Mojo ,…","Web Development","Alternative Dispute Resolution","Buildium","Call Center","Customer Service","0","0","Pakistan"
"Ahmed Hassan 92","Mandi Bahauddin,","Punjab,",NA,NA,"Graphics Design","$10/hr
			  ·  
			Starting at $25","Hello, my name is Ahmed Hassan and I am a graphic designer as well as a programmer. I completed my education in my home country of Pakistan and later I decided to pursue online education. I have compl…","Web Development","Animation","Background","Background Change","Background Removal","0","0","Pakistan"
"Owaiss","Lahore,","Punjab,",NA,NA,"System/Network/AWS/VOIP Administrator","$10/hr
			  ·  
			Starting at $30","Over 5 years plus experience of System Management. Highly Self-motivated and Goal-oriented, Ability to work as an effective team leader and also as a diligent team member. Experience of heterogeneous","Web Development","Administrative Assistant","Amazon AWS","App Development","Blackberry","0","0","Pakistan"
"Kamran Afzal 4","Karachi,","Sindh,",NA,NA,"Data Entry & Remote Assistance","$8/hr
			  ·  
			Starting at $25","-Remote Back office insurance administration -Virtual Assistance -Data Entry -Data Mining -Excel Data Entry -CRM Data Entry -Data Scraping -Copy Paste Work -Data Conversion -PDF to Excel or Word -JPEG…","Web Development","Admin Support","Administrative Assistant","Business Card Design","Claims Management","0","0","Pakistan"
"Mehak Razzaq","Bahawalpur,","Punjab,",NA,NA,"Data Entry, Research, Lead Generation&VA","$8/hr
			  ·  
			Starting at $25","Hello, My strongest skills include: • Web Research Over time, I’ve completed many complex and challenging projects, involving Web Research, data gathering, lead generation, data entry and providing my…","Web Development","Adobe Photoshop","Data Entry","Design","Email","0","0","Pakistan"
